ドメイン,カテゴリー,コード,コードの解説（医学的・リハビリテーション的視点）,ゲームへの応用,ゲームへの応用の具体例
心身機能,精神機能,b110 意識機能,覚醒状態の維持やレベル（昏睡、傾眠、清明など）を調整する機能。臨床では外傷や疾患により意識障害が出現する。,状態異常やイベント演出に直結。キャラクターの戦闘可能／不能を分ける基盤。,RPGの「気絶」ステータス、ホラーゲームでの失神、酒場で酔って操作が乱れるイベント。
,,b114 見当識機能,時間・場所・人物を正しく認識する機能。高齢者の認知症や記憶障害で低下がみられる。,記憶喪失や異世界転移、洗脳イベントでのトリガーとして活用。,『クロノクロス』の記憶混乱イベント、『ドラクエ』の偽記憶シナリオ。
,,b117 知的機能,学習・推論・抽象化・問題解決の基盤となる知能全般。,謎解き、スキル習得速度、AI挙動に差を生む。,『ゼルダ』の謎解き難度変化、RTSでのAIの賢さ設定。
,,b126 気質と人格の機能,性格的傾向（内向的・外向的・勇敢・衝動性など）の持続的特性。,選択肢の傾向やNPCとの相性、好感度変動に反映。,『ペルソナ』シリーズの性格値、恋愛シミュレーションの好感度変化。
,,b130 活力と欲動の機能,行動のエネルギー源。気力や衝動性とも関連。,スタミナややる気ゲージとして数値化しやすい。,『モンスターハンター』のスタミナゲージ、『FF』のバーサーク状態。
,,b140 注意機能,集中・分配・持続注意の能力。注意障害は認知リハでも重要。,命中率・回避率・反応速度に影響。,『ポケモン』の「こんらん」状態、リズムゲームのコンボ維持。
,,b144 記憶機能,短期・長期・エピソード記憶を含む。記憶障害では新情報の保持が困難。,ストーリーやスキル習得に直結。,『FF』の記憶喪失キャラ設定、『逆転裁判』の証言保持要素。
,,b147 精神運動機能,思考と運動の協調性や速度。ADLでは運動緩慢などが問題。,攻撃モーションやQTE精度に直結。,アクションゲームのコンボ判定、『God of War』の連携攻撃。
,,b152 情動機能,感情の生成・制御。怒り・恐怖・喜び・悲しみを含む。,感情によるAI行動やシナリオ分岐。,『信長の野望』の士気システム、恐怖で硬直するホラー演出。
,,b156 知覚機能,視覚・聴覚・触覚の鋭敏さや処理。感覚過敏や鈍麻も含む。,アイテム発見率や暗闇耐性に影響。,『メタルギアソリッド』の暗視ゴーグル、盲目状態異常。
,,b160 思考機能,推理・判断・意思決定を担う。,NPC戦術AIやパズル判定に利用。,『シムシティ』での都市運営AI、推理ゲームの解答アルゴリズム。
,,b164 高次認知機能,計画立案、柔軟性、メタ認知。実行機能障害で低下。,リーダーシップ判定や複雑タスクの自動処理。,『XCOM』での隊長スキル、分岐シナリオでの多様な選択肢。
